2,0,0
5,0,0
9,0,0
10,1,0
20,2,0
15,5,0
15,10,0
15,15,5
25,15,10
15,25,15
35,25,20
45,35,25
35,55,30
55,65,45
55,75,65
55,75,75
55,85,85
55,105,95
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
55,105,105
